행정동코드,재생도시
1111053000,1
1111054000,1
1111055000,0
1111056000,0
1111057000,0
1111058000,0
1111060000,1
1111061500,1
1111063000,0
1111064000,0
1111067000,1
1111068000,1
1111069000,1
1111070000,1
1111071000,0
1111051500,1
1111065000,0
1114052000,0
1114054000,1
1114055000,0
1114057000,0
1114058000,0
1114059000,1
1114060500,1
1114065000,1
1114067000,0
1114068000,0
1114061500,0
1114062500,0
1114063500,0
1114064500,0
1114066500,0
1117051000,0
1117052000,1
1117053000,0
1117057000,1
1117058000,1
1117059000,0
1117063000,0
1117064000,0
1117065000,0
1117066000,0
1117069000,0
1117070000,0
1117055500,0
1117056000,1
1117062500,0
1117068500,0
1120052000,0
1120054000,1
1120055000,1
1120056000,0
1120057000,0
1120058000,0
1120059000,0
1120062000,0
1120065000,1
1120066000,1
1120067000,1
1120069000,1
1120072000,1
1120079000,1
1120053500,0
1120061500,0
1120064500,0
1121571000,0
1121573000,0
1121574000,0
1121575000,0
1121576000,0
1121577000,0
1121578000,0
1121585000,1
1121586000,1
1121587000,1
1121581000,0
1121582000,0
1121583000,0
1121584000,0
1121584700,0
1123071000,0
1123072000,0
1123073000,0
1123070500,1
1123053600,0
1123054500,1
1123056000,0
1123057000,0
1123061000,1
1123065000,1
1123066000,1
1123074000,0
1123075000,0
1123060000,1
1126052000,1
1126054000,0
1126055000,0
1126057000,0
1126058000,0
1126059000,0
1126060000,0
1126061000,1
1126062000,0
1126063000,1
1126066000,0
1126068000,0
1126069000,0
1126056500,0
1126057500,0
1126065500,1
1129058000,0
1129059000,0
1129060000,1
1129061000,0
1129062000,0
1129063000,0
1129064000,0
1129065000,0
1129066000,0
1129068500,0
1129071500,0
1129072500,0
1129076000,1
1129077000,1
1129078000,1
1129052500,0
1129055500,0
1129057500,0
1129070500,0
1129081000,0
1130559500,0
1130560300,0
1130560800,0
1130561500,1
1130562500,0
1130563500,0
1130553400,0
1130553500,0
1130554500,0
1130555500,0
1130557500,0
1130564500,1
1130566000,1
1132066000,0
1132067000,0
1132068000,0
1132068100,0
1132069000,0
1132070000,0
1132071000,0
1132051100,0
1132051200,0
1132051300,1
1132051400,1
1132051500,1
1132052100,0
1132052200,1
1135056000,0
1135057000,0
1135058000,0
1135060000,0
1135061100,0
1135061200,0
1135061900,0
1135062100,0
1135062400,0
1135063000,0
1135064000,1
1135067000,0
1135070000,0
1135071000,0
1135072000,1
1135066500,0
1135069500,1
1135062500,0
1135059500,0
1138051000,0
1138052000,0
1138055100,0
1138055200,0
1138056000,0
1138057000,0
1138058000,0
1138059000,0
1138063100,0
1138063200,0
1138064000,0
1138065000,0
1138069000,0
1138053000,1
1138060000,1
1138062500,0
1141052000,1
1141062000,1
1141064000,1
1141065500,1
1141066000,0
1141068500,0
1141069000,0
1141070000,0
1141071000,0
1141072000,0
1141056500,1
1141055500,0
1141058500,1
1141061500,0
1144059000,0
1144060000,0
1144061000,0
1144063000,0
1144066000,0
1144068000,1
1144069000,0
1144070000,0
1144071000,0
1144072000,0
1144073000,0
1144074000,0
1144058500,0
1144065500,0
1144056500,0
1144055500,0
1147051000,0
1147052000,0
1147053000,1
1147054000,0
1147056000,1
1147057000,0
1147058000,1
1147059000,0
1147060000,0
1147061000,0
1147061100,0
1147062000,0
1147063000,0
1147064000,0
1147067000,0
1147068000,0
1147055000,0
1147065000,0
1150051000,0
1150052000,0
1150053000,0
1150053500,0
1150059000,0
1150055000,0
1150056000,0
1150057000,0
1150059100,0
1150059300,0
1150060300,0
1150060400,0
1150060500,0
1150061100,0
1150062000,1
1150063000,0
1150064000,0
1150064100,0
1150054000,0
1150061500,0
1153051000,0
1153052000,0
1153054000,0
1153055000,0
1153056000,0
1153072000,0
1153073000,0
1153075000,0
1153076000,0
1153077000,0
1153079000,0
1153059500,1
1153053000,1
1153074000,0
1153078000,0
1154551000,0
1154561000,1
1154562000,1
1154563000,0
1154564000,0
1154567000,0
1154568000,0
1154569000,0
1154570000,0
1154571000,0
1156054000,0
1156055000,0
1156056000,0
1156061000,0
1156062000,0
1156063000,0
1156065000,0
1156066000,0
1156067000,0
1156068000,0
1156069000,0
1156070000,0
1156071000,0
1156072000,0
1156051500,0
1156053500,0
1156058500,0
1156060500,1
1159052000,0
1159053000,0
1159054000,0
1159055000,0
1159056000,1
1159062000,0
1159064000,0
1159065000,1
1159065100,0
1159066000,0
1159067000,0
1159068000,0
1159060500,0
1159051000,0
1159063000,0
1162052500,0
1162054500,0
1162057500,0
1162058500,0
1162061500,0
1162062500,0
1162063000,0
1162064500,0
1162065500,0
1162066500,0
1162068500,0
1162069500,0
1162071500,1
1162072500,0
1162073500,0
1162060500,0
1162056500,0
1162059500,0
1162077500,1
1162074500,0
1162076500,0
1165051000,0
1165052000,0
1165053000,0
1165053100,0
1165054000,0
1165055000,0
1165056000,0
1165057000,0
1165058000,0
1165058100,0
1165059000,0
1165060000,0
1165061000,0
1165062000,0
1165062100,0
1165065100,0
1165065200,0
1165066000,0
1168051000,0
1168052100,0
1168053100,0
1168058000,0
1168059000,0
1168060000,0
1168063000,0
1168064000,0
1168065000,0
1168065500,0
1168065600,0
1168066000,0
1168069000,0
1168072000,0
1168073000,0
1168074000,0
1168075000,0
1168070000,0
1168054500,0
1168056500,0
1168061000,0
1168067000,0
1171051000,1
1171052000,1
1171053100,0
1171053200,0
1171054000,0
1171055000,0
1171056100,0
1171056200,0
1171056600,0
1171057000,0
1171058000,0
1171059000,0
1171060000,0
1171061000,0
1171062000,0
1171063100,0
1171063200,0
1171064100,0
1171064200,0
1171065000,0
1171069000,0
1171071000,0
1171072000,0
1171067000,0
1171068000,0
1171064600,0
1171064700,0
1174051500,0
1174052000,0
1174053000,0
1174054000,0
1174055000,0
1174056000,0
1174058000,1
1174059000,1
1174060000,0
1174062000,0
1174064000,0
1174065000,1
1174066000,0
1174070000,0
1174057000,1
1174061000,0
1174068500,0
