기간,자치구,동,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구
2020,마포구,망원1동,"21,113","9,910","11,203","3,402","1,415","1,987","3,391","1,411","1,980",11,4,7
2020,마포구,망원2동,"19,216","9,030","10,186","3,081","1,302","1,779","3,073","1,298","1,775",8,4,4
2020,마포구,연남동,"16,682","7,812","8,870","2,546","1,080","1,466","2,448","1,031","1,417",98,49,49
2020,마포구,성산1동,"19,679","9,238","10,441","2,959","1,267","1,692","2,940","1,257","1,683",19,10,9
2020,마포구,성산2동,"40,669","18,469","22,200","6,120","2,426","3,694","6,106","2,420","3,686",14,6,8
2020,마포구,상암동,"31,997","15,251","16,746","3,919","1,682","2,237","3,905","1,675","2,230",14,7,7
2020,마포구,도화동,"21,998","10,566","11,432","3,727","1,605","2,122","3,704","1,594","2,110",23,11,12
2020,마포구,서강동,"25,386","11,974","13,412","3,178","1,354","1,824","3,171","1,350","1,821",7,4,3
2020,마포구,공덕동,"38,750","18,300","20,450","5,882","2,434","3,448","5,856","2,423","3,433",26,11,15
2020,마포구,아현동,"26,221","12,280","13,941","3,171","1,334","1,837","3,138","1,318","1,820",33,16,17
2020,양천구,소계,"457,781","224,379","233,402","65,670","29,487","36,183","65,541","29,422","36,119",129,65,64
2020,양천구,목1동,"31,727","15,245","16,482","3,122","1,430","1,692","3,112","1,425","1,687",10,5,5
2020,양천구,목2동,"30,705","14,915","15,790","4,094","1,822","2,272","4,083","1,815","2,268",11,7,4
2020,양천구,목3동,"22,643","10,801","11,842","3,270","1,413","1,857","3,259","1,408","1,851",11,5,6
2020,양천구,목4동,"26,190","12,793","13,397","3,183","1,379","1,804","3,176","1,375","1,801",7,4,3
2020,양천구,신월1동,"21,246","10,877","10,369","4,082","1,902","2,180","4,072","1,898","2,174",10,4,6
2020,양천구,신월2동,"21,520","10,541","10,979","3,804","1,735","2,069","3,801","1,733","2,068",3,2,1
2020,양천구,신월3동,"15,965","8,402","7,563","2,956","1,354","1,602","2,949","1,354","1,595",7,-,7
2020,양천구,신월4동,"18,487","9,068","9,419","3,173","1,421","1,752","3,172","1,420","1,752",1,1,-
2020,양천구,신월5동,"15,189","7,510","7,679","2,386","1,084","1,302","2,377","1,078","1,299",9,6,3
2020,양천구,신월6동,"13,798","6,789","7,009","1,729",799,930,"1,729",799,930,-,-,-
2020,양천구,신월7동,"20,651","10,104","10,547","4,288","1,817","2,471","4,283","1,815","2,468",5,2,3
2020,양천구,신정1동,"21,074","10,281","10,793","2,646","1,198","1,448","2,637","1,191","1,446",9,7,2
2020,양천구,신정2동,"20,207","9,884","10,323","2,564","1,138","1,426","2,562","1,137","1,425",2,1,1
2020,양천구,신정3동,"46,787","22,794","23,993","6,816","2,969","3,847","6,799","2,961","3,838",17,8,9
2020,양천구,신정6동,"25,038","12,170","12,868","2,645","1,269","1,376","2,643","1,268","1,375",2,1,1
2020,양천구,신정7동,"30,075","14,539","15,536","4,832","2,029","2,803","4,826","2,026","2,800",6,3,3
2020,양천구,목5동,"42,288","20,933","21,355","4,308","2,077","2,231","4,307","2,076","2,231",1,1,-
2020,양천구,신정4동,"34,191","16,733","17,458","5,772","2,651","3,121","5,754","2,643","3,111",18,8,10
2020,강서구,소계,"585,901","282,686","303,215","88,984","39,204","49,780","88,733","39,051","49,682",251,153,98
2020,강서구,염창동,"42,017","20,422","21,595","4,241","1,937","2,304","4,237","1,937","2,300",4,-,4
2020,강서구,등촌1동,"24,338","11,362","12,976","2,809","1,213","1,596","2,803","1,210","1,593",6,3,3
2020,강서구,등촌2동,"21,216","10,385","10,831","3,096","1,411","1,685","3,093","1,409","1,684",3,2,1
2020,강서구,등촌3동,"31,660","15,070","16,590","6,498","2,688","3,810","6,488","2,685","3,803",10,3,7
2020,강서구,화곡본동,"34,981","17,030","17,951","4,764","2,046","2,718","4,753","2,044","2,709",11,2,9
2020,강서구,화곡2동,"18,727","9,103","9,624","2,846","1,261","1,585","2,842","1,258","1,584",4,3,1
2020,강서구,화곡3동,"21,938","10,521","11,417","3,962","1,807","2,155","3,955","1,804","2,151",7,3,4
2020,강서구,화곡4동,"21,413","10,461","10,952","3,730","1,635","2,095","3,718","1,628","2,090",12,7,5
2020,강서구,화곡6동,"25,133","12,249","12,884","3,831","1,706","2,125","3,824","1,702","2,122",7,4,3
2020,강서구,화곡8동,"25,674","12,330","13,344","4,332","1,896","2,436","4,305","1,882","2,423",27,14,13
2020,강서구,가양1동,"34,540","15,986","18,554","2,956","1,420","1,536","2,901","1,369","1,532",55,51,4
2020,강서구,가양2동,"14,588","6,894","7,694","3,860","1,650","2,210","3,859","1,649","2,210",1,1,-
2020,강서구,가양3동,"15,583","7,286","8,297","3,568","1,378","2,190","3,563","1,374","2,189",5,4,1
2020,강서구,발산1동,"37,530","17,808","19,722","4,659","1,969","2,690","4,655","1,965","2,690",4,4,-
2020,강서구,공항동,"27,627","14,133","13,494","3,818","1,748","2,070","3,795","1,734","2,061",23,14,9
2020,강서구,방화1동,"44,550","21,713","22,837","6,499","2,962","3,537","6,486","2,957","3,529",13,5,8
2020,강서구,방화2동,"23,442","11,594","11,848","4,755","2,053","2,702","4,740","2,046","2,694",15,7,8
2020,강서구,방화3동,"23,577","11,423","12,154","4,967","2,125","2,842","4,962","2,124","2,838",5,1,4
2020,강서구,화곡1동,"53,380","25,873","27,507","8,153","3,689","4,464","8,122","3,669","4,453",31,20,11
2020,강서구,우장산동,"43,987","21,043","22,944","5,640","2,610","3,030","5,632","2,605","3,027",8,5,3
2020,구로구,소계,"432,488","215,424","217,064","70,198","31,986","38,212","69,201","31,419","37,782",997,567,430
2020,구로구,신도림동,"36,494","17,861","18,633","4,596","2,163","2,433","4,585","2,157","2,428",11,6,5
2020,구로구,구로1동,"21,632","10,619","11,013","2,476","1,165","1,311","2,471","1,162","1,309",5,3,2
2020,구로구,구로3동,"25,722","13,155","12,567","3,465","1,527","1,938","3,388","1,484","1,904",77,43,34
2020,구로구,구로4동,"25,031","12,543","12,488","4,536","2,006","2,530","4,383","1,919","2,464",153,87,66
2020,구로구,구로5동,"32,339","15,874","16,465","4,645","2,162","2,483","4,521","2,088","2,433",124,74,50
2020,구로구,고척1동,"23,547","11,744","11,803","4,259","1,952","2,307","4,244","1,945","2,299",15,7,8
2020,구로구,고척2동,"27,853","13,786","14,067","5,036","2,288","2,748","5,014","2,274","2,740",22,14,8
2020,구로구,개봉2동,"32,218","15,707","16,511","6,240","2,895","3,345","6,220","2,886","3,334",20,9,11
2020,구로구,개봉3동,"21,284","10,415","10,869","4,166","1,879","2,287","4,146","1,871","2,275",20,8,12
2020,구로구,오류1동,"23,360","11,432","11,928","3,929","1,806","2,123","3,919","1,801","2,118",10,5,5
2020,구로구,수궁동,"24,297","12,015","12,282","4,287","1,926","2,361","4,275","1,919","2,356",12,7,5
2020,구로구,가리봉동,"14,263","8,148","6,115","2,163","1,007","1,156","2,001",912,"1,089",162,95,67
2020,구로구,구로2동,"33,050","17,202","15,848","5,864","2,626","3,238","5,580","2,461","3,119",284,165,119
2020,구로구,개봉1동,"35,239","17,635","17,604","6,246","2,900","3,346","6,203","2,878","3,325",43,22,21
2020,구로구,오류2동,"39,755","19,202","20,553","6,834","3,007","3,827","6,799","2,988","3,811",35,19,16
2020,구로구,항동,"16,404","8,086","8,318","1,456",677,779,"1,452",674,778,4,3,1
2020,금천구,소계,"247,835","126,141","121,694","39,842","18,153","21,689","39,314","17,869","21,445",528,284,244
2020,금천구,가산동,"25,973","14,334","11,639","2,604","1,292","1,312","2,523","1,250","1,273",81,42,39
2020,금천구,독산1동,"44,191","22,834","21,357","5,630","2,575","3,055","5,556","2,534","3,022",74,41,33
2020,금천구,독산2동,"20,666","10,519","10,147","3,396","1,588","1,808","3,349","1,565","1,784",47,23,24
2020,금천구,독산3동,"28,535","14,607","13,928","4,515","2,056","2,459","4,379","1,985","2,394",136,71,65
2020,금천구,독산4동,"17,464","8,871","8,593","2,886","1,334","1,552","2,831","1,303","1,528",55,31,24
2020,금천구,시흥1동,"35,781","17,966","17,815","6,110","2,757","3,353","6,038","2,715","3,323",72,42,30
2020,금천구,시흥2동,"22,092","10,646","11,446","4,046","1,811","2,235","4,044","1,809","2,235",2,2,-
2020,금천구,시흥3동,"11,285","5,597","5,688","2,301","1,052","1,249","2,294","1,048","1,246",7,4,3
2020,금천구,시흥4동,"21,520","10,660","10,860","4,035","1,850","2,185","4,004","1,833","2,171",31,17,14
2020,금천구,시흥5동,"20,328","10,107","10,221","4,319","1,838","2,481","4,296","1,827","2,469",23,11,12
2020,영등포구,소계,"407,367","202,969","204,398","61,688","27,856","33,832","60,663","27,298","33,365","1,025",558,467
2020,영등포구,여의동,"34,463","16,212","18,251","6,206","2,769","3,437","6,182","2,752","3,430",24,17,7
2020,영등포구,당산1동,"21,197","10,404","10,793","3,346","1,505","1,841","3,323","1,491","1,832",23,14,9
2020,영등포구,당산2동,"38,011","17,837","20,174","4,678","2,116","2,562","4,660","2,102","2,558",18,14,4
2020,영등포구,양평1동,"17,702","8,715","8,987","2,353",999,"1,354","2,334",991,"1,343",19,8,11
2020,영등포구,양평2동,"22,603","11,231","11,372","2,515","1,100","1,415","2,509","1,098","1,411",6,2,4
2020,영등포구,신길1동,"19,167","9,807","9,360","3,366","1,487","1,879","3,293","1,444","1,849",73,43,30
2020,영등포구,신길3동,"18,086","8,976","9,110","3,090","1,370","1,720","3,052","1,347","1,705",38,23,15
2020,영등포구,신길4동,"12,974","6,509","6,465","2,220",960,"1,260","2,182",937,"1,245",38,23,15
2020,영등포구,신길5동,"12,496","6,143","6,353","2,073",894,"1,179","2,022",869,"1,153",51,25,26
2020,영등포구,신길6동,"19,071","9,356","9,715","3,215","1,449","1,766","3,169","1,424","1,745",46,25,21
2020,영등포구,신길7동,"20,494","10,231","10,263","2,457","1,096","1,361","2,447","1,091","1,356",10,5,5
2020,영등포구,대림1동,"17,751","9,023","8,728","3,136","1,378","1,758","3,044","1,329","1,715",92,49,43
2020,영등포구,대림2동,"19,776","10,297","9,479","3,044","1,356","1,688","2,813","1,232","1,581",231,124,107
2020,영등포구,대림3동,"26,973","13,720","13,253","4,379","1,992","2,387","4,261","1,936","2,325",118,56,62
2020,영등포구,영등포본동,"23,790","12,280","11,510","4,051","1,891","2,160","3,971","1,851","2,120",80,40,40
2020,영등포구,영등포동,"28,749","15,425","13,324","3,523","1,852","1,671","3,503","1,839","1,664",20,13,7
2020,영등포구,도림동,"20,665","10,434","10,231","3,354","1,492","1,862","3,236","1,425","1,811",118,67,51
2020,영등포구,문래동,"33,399","16,369","17,030","4,682","2,150","2,532","4,662","2,140","2,522",20,10,10
2020,동작구,소계,"401,572","193,718","207,854","65,190","28,407","36,783","64,928","28,274","36,654",262,133,129
2020,동작구,노량진2동,"13,512","6,920","6,592","2,697","1,212","1,485","2,671","1,197","1,474",26,15,11
2020,동작구,상도1동,"46,840","22,494","24,346","6,884","2,982","3,902","6,869","2,977","3,892",15,5,10
2020,동작구,상도2동,"28,162","13,498","14,664","4,400","1,917","2,483","4,380","1,910","2,470",20,7,13
2020,동작구,상도3동,"25,416","12,142","13,274","4,325","1,867","2,458","4,315","1,859","2,456",10,8,2
2020,동작구,상도4동,"29,306","14,200","15,106","4,913","2,093","2,820","4,899","2,085","2,814",14,8,6
2020,동작구,사당1동,"23,632","11,214","12,418","3,683","1,684","1,999","3,666","1,675","1,991",17,9,8
2020,동작구,사당3동,"25,244","12,218","13,026","4,390","2,020","2,370","4,385","2,018","2,367",5,2,3
2020,동작구,사당4동,"14,599","6,987","7,612","2,623","1,141","1,482","2,618","1,137","1,481",5,4,1
2020,동작구,사당5동,"14,811","7,183","7,628","2,262",973,"1,289","2,259",973,"1,286",3,-,3
2020,동작구,대방동,"39,172","18,656","20,516","5,613","2,332","3,281","5,597","2,325","3,272",16,7,9
2020,동작구,신대방1동,"25,823","12,561","13,262","3,759","1,682","2,077","3,671","1,634","2,037",88,48,40
2020,동작구,신대방2동,"20,466","9,728","10,738","3,054","1,377","1,677","3,047","1,374","1,673",7,3,4
2020,동작구,흑석동,"34,544","16,508","18,036","5,728","2,394","3,334","5,712","2,386","3,326",16,8,8
2020,동작구,노량진1동,"32,387","16,108","16,279","5,627","2,426","3,201","5,620","2,424","3,196",7,2,5
2020,동작구,사당2동,"27,658","13,301","14,357","5,232","2,307","2,925","5,219","2,300","2,919",13,7,6
2020,관악구,소계,"509,803","255,211","254,592","78,875","35,108","43,767","78,430","34,880","43,550",445,228,217
2020,관악구,보라매동,"25,278","12,393","12,885","4,423","1,956","2,467","4,393","1,943","2,450",30,13,17
2020,관악구,청림동,"15,711","7,683","8,028","2,722","1,149","1,573","2,716","1,146","1,570",6,3,3
2020,관악구,행운동,"29,799","14,417","15,382","4,335","1,936","2,399","4,323","1,931","2,392",12,5,7
2020,관악구,낙성대동,"17,579","8,844","8,735","1,975",870,"1,105","1,971",869,"1,102",4,1,3
2020,관악구,중앙동,"15,758","7,486","8,272","2,412","1,055","1,357","2,404","1,051","1,353",8,4,4
2020,관악구,인헌동,"26,500","12,876","13,624","3,972","1,753","2,219","3,959","1,749","2,210",13,4,9
2020,관악구,남현동,"18,598","8,970","9,628","2,717","1,242","1,475","2,710","1,237","1,473",7,5,2
2020,관악구,서원동,"23,565","12,092","11,473","3,266","1,480","1,786","3,253","1,474","1,779",13,6,7
2020,관악구,신원동,"19,290","9,646","9,644","3,252","1,383","1,869","3,226","1,366","1,860",26,17,9
2020,관악구,서림동,"24,410","13,310","11,100","3,516","1,601","1,915","3,511","1,598","1,913",5,3,2
2020,관악구,신사동,"25,426","12,735","12,691","3,527","1,584","1,943","3,430","1,532","1,898",97,52,45
2020,관악구,신림동,"22,667","11,795","10,872","1,966",889,"1,077","1,927",868,"1,059",39,21,18
2020,관악구,난향동,"15,915","7,849","8,066","2,762","1,246","1,516","2,757","1,241","1,516",5,5,-
2020,관악구,조원동,"19,232","9,771","9,461","2,800","1,348","1,452","2,745","1,314","1,431",55,34,21
2020,관악구,대학동,"24,907","14,818","10,089","2,897","1,363","1,534","2,893","1,363","1,530",4,-,4
2020,관악구,은천동,"34,595","16,893","17,702","5,838","2,577","3,261","5,802","2,564","3,238",36,13,23
2020,관악구,성현동,"30,472","14,701","15,771","5,341","2,243","3,098","5,334","2,239","3,095",7,4,3
2020,관악구,청룡동,"36,325","17,376","18,949","4,455","2,027","2,428","4,418","2,008","2,410",37,19,18
2020,관악구,난곡동,"28,054","14,056","13,998","5,287","2,356","2,931","5,268","2,348","2,920",19,8,11
2020,관악구,삼성동,"23,935","11,943","11,992","5,735","2,468","3,267","5,731","2,467","3,264",4,1,3
2020,관악구,미성동,"31,787","15,557","16,230","5,677","2,582","3,095","5,659","2,572","3,087",18,10,8
2020,서초구,소계,"429,025","205,282","223,743","60,169","27,205","32,964","60,072","27,155","32,917",97,50,47
2020,서초구,서초1동,"21,187","10,180","11,007","2,978","1,404","1,574","2,971","1,403","1,568",7,1,6
2020,서초구,서초2동,"21,731","10,384","11,347","2,600","1,217","1,383","2,598","1,216","1,382",2,1,1
2020,서초구,서초3동,"32,307","15,748","16,559","4,647","2,166","2,481","4,641","2,162","2,479",6,4,2
2020,서초구,서초4동,"31,718","15,425","16,293","4,071","1,937","2,134","4,066","1,933","2,133",5,4,1
2020,서초구,잠원동,"28,532","13,677","14,855","3,348","1,478","1,870","3,344","1,476","1,868",4,2,2
2020,서초구,반포본동,"11,991","5,660","6,331","1,943",865,"1,078","1,941",863,"1,078",2,2,-
2020,서초구,반포1동,"32,630","15,742","16,888","3,533","1,566","1,967","3,525","1,562","1,963",8,4,4
2020,서초구,반포2동,"16,240","7,739","8,501","1,951",858,"1,093","1,947",856,"1,091",4,2,2
2020,서초구,반포3동,"22,412","10,620","11,792","2,917","1,246","1,671","2,913","1,242","1,671",4,4,-
2020,서초구,반포4동,"19,977","9,487","10,490","2,831","1,295","1,536","2,822","1,292","1,530",9,3,6
2020,서초구,방배본동,"21,293","9,891","11,402","3,030","1,354","1,676","3,023","1,350","1,673",7,4,3
2020,서초구,방배1동,"17,381","8,151","9,230","2,830","1,299","1,531","2,826","1,296","1,530",4,3,1
2020,서초구,방배2동,"20,404","9,572","10,832","3,495","1,571","1,924","3,491","1,569","1,922",4,2,2
2020,서초구,방배3동,"21,441","10,364","11,077","3,694","1,728","1,966","3,688","1,727","1,961",6,1,5
2020,서초구,방배4동,"24,036","10,975","13,061","3,426","1,523","1,903","3,420","1,520","1,900",6,3,3
2020,서초구,양재1동,"44,890","21,448","23,442","6,810","2,933","3,877","6,799","2,927","3,872",11,6,5
2020,서초구,양재2동,"22,709","11,387","11,322","2,870","1,287","1,583","2,863","1,283","1,580",7,4,3
2020,서초구,내곡동,"18,146","8,832","9,314","3,195","1,478","1,717","3,194","1,478","1,716",1,-,1
2020,강남구,소계,"544,055","260,378","283,677","75,096","33,656","41,440","74,959","33,589","41,370",137,67,70
2020,강남구,신사동,"16,914","7,859","9,055","2,969","1,319","1,650","2,962","1,315","1,647",7,4,3
2020,강남구,논현1동,"23,734","11,193","12,541","2,972","1,322","1,650","2,965","1,320","1,645",7,2,5
2020,강남구,논현2동,"21,997","10,238","11,759","3,161","1,368","1,793","3,156","1,366","1,790",5,2,3
2020,강남구,삼성1동,"13,600","6,754","6,846","2,087",975,"1,112","2,080",971,"1,109",7,4,3
2020,강남구,삼성2동,"30,368","14,482","15,886","3,394","1,493","1,901","3,389","1,490","1,899",5,3,2
2020,강남구,대치1동,"24,922","12,543","12,379","2,333","1,117","1,216","2,326","1,115","1,211",7,2,5
2020,강남구,대치4동,"20,744","9,780","10,964","2,078",902,"1,176","2,075",901,"1,174",3,1,2
2020,강남구,역삼1동,"36,771","17,763","19,008","3,678","1,685","1,993","3,658","1,678","1,980",20,7,13
2020,강남구,역삼2동,"37,291","17,477","19,814","3,607","1,570","2,037","3,599","1,565","2,034",8,5,3
2020,강남구,도곡1동,"22,227","10,537","11,690","2,902","1,388","1,514","2,893","1,383","1,510",9,5,4
2020,강남구,도곡2동,"34,042","15,841","18,201","4,691","2,267","2,424","4,682","2,261","2,421",9,6,3
2020,강남구,개포1동,"6,670","3,230","3,440","1,567",740,827,"1,566",740,826,1,-,1
2020,강남구,개포4동,"22,765","11,095","11,670","2,975","1,385","1,590","2,969","1,381","1,588",6,4,2
2020,강남구,일원본동,"23,945","11,807","12,138","2,863","1,304","1,559","2,863","1,304","1,559",-,-,-
2020,강남구,일원1동,"15,827","7,743","8,084","3,163","1,342","1,821","3,153","1,338","1,815",10,4,6
2020,강남구,일원2동,"17,709","8,574","9,135","3,165","1,254","1,911","3,165","1,254","1,911",-,-,-
2020,강남구,수서동,"15,299","6,933","8,366","4,410","1,678","2,732","4,407","1,676","2,731",3,2,1
2020,강남구,세곡동,"44,475","21,112","23,363","6,339","2,771","3,568","6,335","2,768","3,567",4,3,1
2020,강남구,압구정동,"27,440","12,671","14,769","5,095","2,256","2,839","5,088","2,252","2,836",7,4,3
2020,강남구,청담동,"27,266","12,757","14,509","3,820","1,725","2,095","3,813","1,722","2,091",7,3,4
2020,강남구,대치2동,"37,752","19,214","18,538","4,685","2,272","2,413","4,676","2,266","2,410",9,6,3
2020,강남구,개포2동,"22,297","10,775","11,522","3,142","1,523","1,619","3,139","1,523","1,616",3,-,3
2020,송파구,소계,"673,926","325,080","348,846","93,483","43,116","50,367","93,309","43,036","50,273",174,80,94
2020,송파구,풍납1동,"14,585","7,158","7,427","2,804","1,243","1,561","2,782","1,231","1,551",22,12,10
2020,송파구,풍납2동,"25,703","12,213","13,490","3,672","1,703","1,969","3,670","1,703","1,967",2,-,2
2020,송파구,거여1동,"13,077","6,615","6,462","2,302","1,094","1,208","2,298","1,092","1,206",4,2,2
2020,송파구,거여2동,"19,330","9,484","9,846","3,487","1,537","1,950","3,484","1,536","1,948",3,1,2
2020,송파구,마천1동,"19,909","10,137","9,772","4,171","1,908","2,263","4,168","1,907","2,261",3,1,2
2020,송파구,마천2동,"19,719","9,988","9,731","4,043","1,809","2,234","4,039","1,808","2,231",4,1,3
2020,송파구,방이1동,"16,298","7,858","8,440","2,143","1,003","1,140","2,136","1,000","1,136",7,3,4
2020,송파구,방이2동,"26,675","12,549","14,126","3,404","1,567","1,837","3,396","1,565","1,831",8,2,6
2020,송파구,오륜동,"18,495","9,095","9,400","2,610","1,262","1,348","2,608","1,261","1,347",2,1,1
2020,송파구,오금동,"39,668","19,228","20,440","6,087","2,788","3,299","6,081","2,786","3,295",6,2,4
2020,송파구,송파1동,"25,190","11,829","13,361","3,402","1,583","1,819","3,388","1,576","1,812",14,7,7
2020,송파구,송파2동,"20,800","9,988","10,812","2,867","1,373","1,494","2,864","1,372","1,492",3,1,2
2020,송파구,석촌동,"33,166","15,800","17,366","4,408","2,000","2,408","4,388","1,992","2,396",20,8,12
2020,송파구,삼전동,"31,839","14,999","16,840","3,921","1,719","2,202","3,915","1,717","2,198",6,2,4
2020,송파구,가락본동,"27,368","13,556","13,812","3,661","1,749","1,912","3,650","1,742","1,908",11,7,4
2020,송파구,가락1동,"27,876","13,544","14,332","3,058","1,453","1,605","3,057","1,452","1,605",1,1,-
2020,송파구,가락2동,"33,204","16,323","16,881","4,107","1,929","2,178","4,102","1,926","2,176",5,3,2
2020,송파구,문정1동,"20,868","10,281","10,587","2,926","1,422","1,504","2,919","1,419","1,500",7,3,4
2020,송파구,문정2동,"29,547","13,670","15,877","3,826","1,864","1,962","3,823","1,864","1,959",3,-,3
2020,송파구,잠실본동,"29,093","13,735","15,358","3,688","1,672","2,016","3,666","1,661","2,005",22,11,11
2020,송파구,잠실4동,"21,798","10,475","11,323","2,719","1,243","1,476","2,718","1,243","1,475",1,-,1
2020,송파구,잠실6동,"17,366","8,214","9,152","2,766","1,304","1,462","2,764","1,302","1,462",2,2,-
2020,송파구,잠실7동,"9,903","4,620","5,283","2,107","1,003","1,104","2,104","1,002","1,102",3,1,2
2020,송파구,잠실2동,"36,216","17,314","18,902","3,515","1,563","1,952","3,508","1,558","1,950",7,5,2
2020,송파구,잠실3동,"35,497","16,919","18,578","5,409","2,585","2,824","5,406","2,584","2,822",3,1,2
2020,송파구,장지동,"30,370","14,716","15,654","4,118","1,779","2,339","4,114","1,776","2,338",4,3,1
2020,송파구,위례동,"30,366","14,772","15,594","2,262",961,"1,301","2,261",961,"1,300",1,-,1
2020,강동구,소계,"463,998","228,044","235,954","70,019","31,931","38,088","69,903","31,876","38,027",116,55,61
2020,강동구,강일동,"35,778","17,250","18,528","5,323","2,338","2,985","5,317","2,336","2,981",6,2,4
2020,강동구,상일동,"33,345","16,438","16,907","3,659","1,770","1,889","3,655","1,767","1,888",4,3,1
2020,강동구,명일1동,"26,377","12,859","13,518","3,856","1,778","2,078","3,850","1,776","2,074",6,2,4
2020,강동구,명일2동,"17,555","8,679","8,876","2,463","1,197","1,266","2,462","1,196","1,266",1,1,-
2020,강동구,고덕1동,"26,103","13,292","12,811","2,783","1,264","1,519","2,780","1,263","1,517",3,1,2
2020,강동구,고덕2동,"22,568","11,413","11,155","2,752","1,331","1,421","2,751","1,331","1,420",1,-,1
2020,강동구,암사2동,"15,507","7,504","8,003","2,327","1,052","1,275","2,324","1,051","1,273",3,1,2
2020,강동구,암사3동,"18,420","9,014","9,406","2,531","1,223","1,308","2,528","1,222","1,306",3,1,2
2020,강동구,천호1동,"27,745","13,603","14,142","5,008","2,222","2,786","4,999","2,217","2,782",9,5,4
2020,강동구,천호3동,"27,085","13,235","13,850","4,577","2,081","2,496","4,563","2,075","2,488",14,6,8
2020,강동구,성내1동,"20,353","9,869","10,484","2,963","1,358","1,605","2,960","1,357","1,603",3,1,2
2020,강동구,성내2동,"24,948","12,248","12,700","4,231","1,948","2,283","4,215","1,936","2,279",16,12,4
2020,강동구,성내3동,"23,692","11,641","12,051","3,701","1,628","2,073","3,699","1,626","2,073",2,2,-
2020,강동구,둔촌1동,262,123,139,97,36,61,96,35,61,1,1,-
2020,강동구,둔촌2동,"26,413","12,981","13,432","4,135","1,908","2,227","4,131","1,907","2,224",4,1,3
2020,강동구,암사1동,"35,728","17,677","18,051","5,965","2,599","3,366","5,953","2,594","3,359",12,5,7
2020,강동구,천호2동,"35,251","17,402","17,849","5,969","2,699","3,270","5,946","2,689","3,257",23,10,13
2020,강동구,길동,"46,868","22,816","24,052","7,679","3,499","4,180","7,674","3,498","4,176",5,1,4
