관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11560-00001,신일어린이공원,어린이공원,서울특별시 영등포구 신길1동 455-1,서울특별시 영등포구 신길1동 455-1,37.511852,126.922191,173,헬스형 운동기구 등,조합놀이대,"야외탁자, 평의자 등",,,1940-01-15,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00002,자매근린공원,근린공원,서울특별시 영등포구 의사당대로 166,서울특별시 영등포구 여의동 5-6,37.51662817,126.9290816,16458,게이트볼장,,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00003,문래근린공원,근린공원,서울특별시 영등포구 문래동3가 66,서울특별시 영등포구 문래동3가 66,37.517456,126.894267,23611,"배드민턴장, 게이트볼장",조합놀이대,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00004,신길근린공원,근린공원,서울특별시 영등포구 도림로80길 6,서울특별시 영등포구 신길5동 341-3,37.501712,126.905408,19604,"게이트볼장, 농구장, 배드민턴장",조합놀이대,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00005,당산근린공원,근린공원,서울특별시 영등포구 당산로27길 12,서울특별시 영등포구 당산1동 385,37.52521794,126.895135,11154,배드민턴장,조합놀이대,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00006,메낙골근린공원,근린공원,서울특별시 영등포구 신길1동 4934-4,서울특별시 영등포구 신길1동 4934-4,37.506992,126.915244,17229,게이트볼장,,"정자, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00007,중앙어린이공원,어린이공원,서울특별시 영등포구 영등포로35길 13,서울특별시 영등포구 영등포동 53-1,37.521363,126.9041639,3671,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00008,평화어린이공원,어린이공원,서울특별시 영등포구 63로 45,서울특별시 영등포구 여의동 50-2,37.52135273,126.9373261,4595,농구장,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00009,자유어린이공원,어린이공원,서울특별시 영등포구 63로 45,서울특별시 영등포구 여의동 50-3,37.52135273,126.9373261,5385,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00010,강마을어린이공원,어린이공원,서울특별시 영등포구 당산동6가 10-7,서울특별시 영등포구 당산2동 10-7,37.532972,126.906681,3329,헬스형 운동기구 등,조합놀이대,"파고라, 음수대 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00011,양남어린이공원,어린이공원,서울특별시 영등포구 선유로23길 18,서울특별시 영등포구 양평1동 205,37.52320479,126.888303,1467,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00012,산성어린이공원,어린이공원,서울특별시 영등포구 대림3동 752-60,서울특별시 영등포구 대림3동 752-60,37.496859,126.902594,413,헬스형 운동기구 등,조합놀이대,"정자, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00013,다사랑어린이공원,어린이공원,서울특별시 영등포구 대림로23가길 5,서울특별시 영등포구 대림2동 703-6,37.4928339,126.899215,1632,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1963-04-26,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00014,고추말어린이공원,어린이공원,서울특별시 영등포구 도림동 23-1,서울특별시 영등포구 도림동 23-1,37.511577,126.907115,3071,헬스형 운동기구 등,조합놀이대,"파고라, 음수대 등",,,1963-04-26,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00015,대림어린이공원,어린이공원,서울특별시 영등포구 대림로 106,서울특별시 영등포구 대림1동 870,37.49133176,126.9030162,6969,"게이트볼장, 배드민턴장",조합놀이대,"파고라, 평의자 등",,,1981-03-10,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00016,서강어린이공원,어린이공원,서울특별시 영등포구 영등포동8가 28,서울특별시 영등포구 영등포동8가 28,37.525611,126.908707,1797,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1982-07-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00017,원지어린이공원,어린이공원,서울특별시 영등포구 도림로47길 28,서울특별시 영등포구 대림3동 690,37.49761753,126.899642,4845,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1982-07-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00018,동심어린이공원,어린이공원,서울특별시 영등포구 대림로35길 7,서울특별시 영등포구 대림3동 742,37.498712,126.8972933,2820,배드민턴장,조합놀이대,"파고라, 음수대 등",,,1982-07-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00019,두암어린이공원,어린이공원,서울특별시 영등포구 대림3동 715,서울특별시 영등포구 대림3동 715,37.495428,126.897371,1477,헬스형 운동기구 등,조합놀이대,"파고라, 음수대 등",,,1982-07-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00020,신우어린이공원,어린이공원,서울특별시 영등포구 가마산로47길 13,서울특별시 영등포구 대림3동 657,37.503539,126.899081,3112,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1982-07-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00021,양화폭포근린공원,근린공원,서울특별시 영등포구 양평2동 153-2,서울특별시 영등포구 양평2동 153-2,37.548968,126.881219,12404,,,평의자 등,,,1997-03-31,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00022,영등포근린공원,근린공원,서울특별시 영등포구 신길로 275,서울특별시 영등포구 영등포본동 582-3,37.51612662,126.9121264,61544,"게이트볼장, 풋살장, 배드민턴장, 농구장",조합놀이대,"음수대, 평의자 등",,,1997-05-10,서울특별시 영등포구청,02-2670-3716,2020-09-14
11560-00023,양평어린이공원,어린이공원,서울특별시 영등포구 양평2동 301-7,서울특별시 영등포구 양평2동 301-7,37.538015,126.898077,2845,헬스형 운동기구 등,조합놀이대,"파고라, 음수대 등",,,1998-04-06,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00024,영일어린이공원,어린이공원,서울특별시 영등포구 영등포본동 647-3,서울특별시 영등포구 영등포본동 647-3,37.510097,126.903895,5413,헬스형 운동기구 등,조합놀이대,"파고라, 음수대 등",,,1999-02-03,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00025,중마루근린공원,근린공원,서울특별시 영등포구 영등포동2가 222,서울특별시 영등포구 영등포동2가 222,37.51991866,126.9114973,6456,족구장,,"음수대, 평의자 등",,,1998-10-15,서울특별시 영등포구청,02-2670-3716,2020-09-14
11560-00026,꿈에그린어린이공원,어린이공원,서울특별시 영등포구 신길5동 4937-1,서울특별시 영등포구 신길5동 4937-1,37.503103,126.908722,1619,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00027,문래소공원,소공원,서울특별시 영등포구 문래로8길 5,서울특별시 영등포구 문래로8길 5,37.519878,126.886418,1954,헬스형 운동기구 등,,"파고라, 정자 등",,,2009-03-26,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00028,인스빌1 소공원,소공원,서울특별시 영등포구 문래동 67-1,서울특별시 영등포구 문래동 67-1,37.514461,126.888327,1194,헬스형 운동기구 등,,평의자 등,,,2010-05-13,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00029,인스빌2 소공원,소공원,서울특별시 영등포구 문래동 68-1,서울특별시 영등포구 문래동 68-1,37.513184,126.890275,1007,헬스형 운동기구 등,,"파고라, 평의자 등",,,2010-05-13,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00030,꽃담 소공원,소공원,서울특별시 영등포구 당산2동 4-23,서울특별시 영등포구 당산2동 4-23,37.531174,126.900161,2582,헬스형 운동기구 등,,"파고라, 평의자 등",,,2010-05-13,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00031,(가칭)신길14재정비촉진구역 소공원,소공원,서울특별시 영등포구 신길동 4955-3,서울특별시 영등포구 신길동 4955-3,37.503172,126.908693,1732,헬스형 운동기구 등,,"파고라, 등의자 등",,,2007-11-29,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00032,당산역 소공원,소공원,서울특별시 영등포구 당산2동 9-29,서울특별시 영등포구 당산2동 9-29,37.533517,126.900642,417,헬스형 운동기구 등,,"파고라, 평의자 등",,,2009-09-10,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00033,파밀리에 소공원,소공원,서울특별시 영등포구 대림1동 1124-3,서울특별시 영등포구 대림1동 1124-3,37.493251,126.904792,395,헬스형 운동기구 등,,평의자 등,,,2007-11-08,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00034,도리미 소공원,소공원,서울특별시 영등포구 도림로 112나길 2,서울특별시 영등포구 도림로 112나길 2,37.509336,126.902222,1859,헬스형 운동기구 등,흔들말,"파고라, 등의자 등",,,2007-07-05,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00035,새말소공원,소공원,서울특별시 영등포구 당산동4가 80-6,서울특별시 영등포구 당산동4가 80-6,37.528901,126.900527,1642,헬스형 운동기구 등,,평의자 등,,,2011-02-10,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00036,이음소공원,소공원,서울특별시 영등포구 당산동4가 1-4,서울특별시 영등포구 당산동4가 1-4,37.527656,126.902501,732,헬스형 운동기구 등,,평의자 등,,,2007-08-02,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00037,당산나루소공원,소공원,서울특별시 영등포구 당산로 205,서울특별시 영등포구 당산동5가 9-3,37.53281392,126.9001276,1339,헬스형 운동기구 등,,"파고라, 평의자 등",,,2009-09-10,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00038,(가칭)모아미래도 소공원,소공원,서울특별시 영등포구 문래동5가 67-2,서울특별시 영등포구 문래동5가 67-2,37.516607,126.886941,1505,헬스형 운동기구 등,,"파고라, 등의자 등",,,2010-05-20,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00039,(가칭)당산4구역 소공원,소공원,서울특별시 영등포구 당산동4가 99-1,서울특별시 영등포구 당산동4가 99-1,37.528846,126.903737,396,헬스형 운동기구 등,,"파고라, 등의자 등",,,2007-08-02,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00040,(가칭)신길7재정비촉진구역 소공원,소공원,서울특별시 영등포구 신길동 4950-1,서울특별시 영등포구 신길동 4950-1,37.501274,126.916358,1024.1,헬스형 운동기구 등,,"파고라, 등의자 등",,,2007-11-29,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00041,(가칭)신길11재정비촉진구역 소공원,소공원,서울특별시 영등포구 신길동 4945-1,서울특별시 영등포구 신길동 4945-1,37.504638,126.906631,1661.4,헬스형 운동기구 등,,"파고라, 등의자 등",,,2007-11-29,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00042,(가칭)영등포1-4구역 역사공원,역사공원,서울특별시 영등포구 영등포동7가 205-1,서울특별시 영등포구 영등포동7가 205-1,37.522483,126.908131,2962,헬스형 운동기구 등,,"파고라, 등의자 등",,,2005-12-22,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00043,(가칭)신길5재정비촉진구역 소공원,소공원,서울특별시 영등포구 신길동 1980-1,서울특별시 영등포구 신길동 1980-1,37.50373971,126.9175044,1638,헬스형 운동기구 등,,"파고라, 등의자 등",,,2007-11-29,서울특별시 영등포구청,02-2670-3761,2020-09-14
11560-00044,(가칭)신길5구역어린이공원,어린이공원,서울특별시 영등포구 신길7동 541,서울특별시 영등포구 신길7동 541,37.503015,126.920286,1981,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,2007-11-29,서울특별시 영등포구청,02-2670-3757,2020-09-14
,선유도공원,지역거점공원,서울특별시 영등포구 선유로 343,,,,110400,,,,,,,,,
,여의도공원,지역거점공원,서울특별시 영등포구 여의도공원로 68,,,,229539,,,,,,,,,
,여의도한강공원,지역거점공원,서울특별시 영등포구 여의동로 330,,,,"1,487,374",,,,,,,,,
,여의도샛강생태공원,지역거점공원,서울특별시 영등포구 여의도동 4-9일대,,,,"182,000",,,,,,,,,
,양화한강공원,지역거점공원,서울시 영등포구 노들로 221,,,,"361,628",,,,,,,,,
